label,options,explain,,,,,,,,,,,,,,,,,,,,,
Tops,T-shirt,"A simple and commonly seen top, it gets its name from its T-shaped cut.",,,,,,,,,,,,,,,,,,,,,
Tops,Blouse,"It refers to a lightweight, loose-fitting women's top, usually made from soft, comfortable materials such as cotton, silk, polyester, etc.",,,,,,,,,,,,,,,,,,,,,
Tops,Tunic,It refers to a long-length top that can have a loose-fitting design. It can be worn on its own or paired with other bottoms.,,,,,,,,,,,,,,,,,,,,,
Tops,Bodysuit,The translation into English is A fitted bodysuit that is typically tight-fitting and covers the lower body.,,,,,,,,,,,,,,,,,,,,,
Tops,Corset,"A tight-fitting, structured women's underwear designed to shape the waistline and alter body silhouette.",,,,,,,,,,,,,,,,,,,,,
Tops,Tank,"A sleeveless, wide-strapped top that is typically lightweight and breathable in design.",,,,,,,,,,,,,,,,,,,,,
Tops,Vest,"A type of women's top, typically made of lightweight fabric, characterized by its sleeveless, collarless design with thin shoulder straps that allow the shoulders and back to be exposed.",,,,,,,,,,,,,,,,,,,,,
Tops,Sweater,"Typically made from wool or cashmere, used to keep warm.",,,,,,,,,,,,,,,,,,,,,
Tops,Sweatshirt,"A type of top characterized by its comfortable and loose design, typically made from soft fabrics such as cotton or synthetic fibers.",,,,,,,,,,,,,,,,,,,,,
bottoms,pants,It typically refers to trousers that cover the part from the waist to the ankles.,,,,,,,,,,,,,,,,,,,,,
bottoms,shorts,It usually refers to pants that are above the knee in length.,,,,,,,,,,,,,,,,,,,,,
bottoms,skirt,"This type of women's lower body garment is typically called a skirt, characterized by a short body that wraps or folds around the bottom of the waist.",,,,,,,,,,,,,,,,,,,,,
Jumpsuit,Jumpsuit,A one-piece jumpsuit combines the top and bottom clothing into a single garment,,,,,,,,,,,,,,,,,,,,,
Overcoat,Outerwear,"Outerwear is a broad category of clothing designed to be worn over your regular or inner clothing to provide additional protection from the elements, such as cold, wind, rain, or snow. It serves as a protective layer to keep you warm and shielded from adverse weather conditions. Outerwear includes a variety of garments beyond just jackets, such as coats, parkas, vests, ponchos, and more. The main function of outerwear is to provide insulation and protection, making it suitable for outdoor activities in various weather conditions.",,,,,,,,,,,,,,,,,,,,,
Overcoat,Jacket,"A jacket is a specific type of outerwear that typically has sleeves and is worn on the upper body. Jackets can vary greatly in style, length, and materials. They can be lightweight or heavy, casual or formal, and designed for different purposes. For example, a leather jacket is a classic style often associated with a rugged and fashionable look, while a puffer jacket is designed for warmth in cold weather. Jackets can come in various forms, such as blazers, bomber jackets, rain jackets, and more, each with its own features and intended use.",,,,,,,,,,,,,,,,,,,,,
Dresses,Dresses,"It refers to a dress, a one-piece garment consisting of a combined top and bottom.",,,,,,,,,,,,,,,,,,,,,