label,is_multi, explain,,,,,,,,,,,,,,,,
first category,FALSE,main category,,,,,,,,,,,,,,,,
subcategory,FALSE,Specific style,,,,,,,,,,,,,,,,
Neckline,FALSE,,,,,,,,,,,,,,,,,
Collar,FALSE,,,,,,,,,,,,,,,,,
Sleeve Length,FALSE,,,,,,,,,,,,,,,,,
Sleeve Shape,FALSE,,,,,,,,,,,,,,,,,
Cuff,FALSE,,,,,,,,,,,,,,,,,
Shoulder,FALSE,,,,,,,,,,,,,,,,,
Waist,FALSE,,,,,,,,,,,,,,,,,
Fit,FALSE,"""fit"" refers to how tight or loose a garment is on the person wearing it",,,,,,,,,,,,,,,,
Back,FALSE,"back"" refers to the portion of a garment that covers the back of the body",,,,,,,,,,,,,,,,
Length,FALSE,,,,,,,,,,,,,,,,,
Cut,TRUE,,,,,,,,,,,,,,,,,
Rise,FALSE,"""Rise"" in clothing is the measurement that determines how high or low a pair of pants or skirt will sit on the waist.",,,,,,,,,,,,,,,,
Design,TRUE,,,,,,,,,,,,,,,,,
Color,FALSE,,,,,,,,,,,,,,,,,
Saturation,FALSE,,,,,,,,,,,,,,,,,
Brightness,FALSE,,,,,,,,,,,,,,,,,
Material,TRUE,,,,,,,,,,,,,,,,,
Pattern,TRUE,"Pattern design in clothing refers to the art and craft of creating graphics, colors, and textures on fabric to add visual appeal and uniqueness to garments.",,,,,,,,,,,,,,,,
Trends,FALSE,"""trends"" are the prevailing styles and designs that are currently popular.",,,,,,,,,,,,,,,,
Process,TRUE,craftsmanship,,,,,,,,,,,,,,,,
Occasion,TRUE,Occasions refers to the types of life events or milestones that a user will need outfits for. The occasion will determine how formal or how casual the clothes will need to be. ,,,,,,,,,,,,,,,,
Location,TRUE,Location refers to where the event will take place. This may dictate the types of clothing worn to the event. ,,,,,,,,,,,,,,,,
Style,TRUE,what style is this merchandise,,,,,,,,,,,,,,,,
Season,TRUE,,,,,,,,,,,,,,,,,
Event,TRUE,,,,,,,,,,,,,,,,,
Waistband,FALSE,,,,,,,,,,,,,,,,,